particle_id,x,y,mass
   0, 639178.15, 815079.77,    267.51
   1, 939059.08, 670105.94,    936.25
   2, 581108.82, 741772.29,    378.32
   3, 212355.64, 443198.30,    896.02
   4, 606306.54, 868403.23,    575.79
   5, 991929.45, 671553.71,    143.14
   6, 633635.77, 845458.67,    653.77
   7,  55391.95, 786245.35,    651.41
   8, 386329.69, 656797.79,    247.27
   9, 583369.07, 406232.28,    225.62
  10, 941794.66,  50377.13,    372.32
  11, 657055.75, 108011.11,    759.65
  12, 427974.34, 980965.64,     17.82
  13, 934878.02,  72804.50,    807.90
  14, 292039.00, 216742.93,     96.17
  15, 828076.25, 833581.13,    516.86
  16, 776449.44, 678581.30,    446.81
  17, 313694.46, 907629.85,    469.13
  18, 556896.57, 573707.42,    893.55
  19,  40423.56,  23164.23,    661.95
  20, 772745.18, 602368.64,     93.47
  21,  27785.96, 347993.15,    881.60
  22, 528950.86, 988311.87,    541.65
  23, 757390.46, 666166.57,    925.24
  24, 818194.35, 300133.95,    279.95
  25, 247930.32, 527198.15,     73.25
  26, 519144.12, 955238.58,    714.56
  27, 831358.99, 593375.11,    617.21
  28, 786104.73, 364921.73,    300.54
  29, 197954.53, 680938.65,    116.94
  30, 665371.11, 174077.92,    473.39
  31, 313227.78, 556543.67,    989.56
  32, 995953.30, 387439.55,     78.31
  33, 272075.46, 458264.37,    447.82
  34, 603733.58,  21686.38,     95.24
  35, 976624.95, 523256.27,    203.60
  36, 982604.64, 589921.14,   1027.33
  37, 796248.56, 972839.62,    566.19
  38, 264465.09, 295720.57,    903.81
  39, 479208.38, 646861.34,   1094.44
  40, 460726.92, 505131.30,    158.14
  41,  69960.25, 371229.60,    296.66
  42, 366559.31, 675341.16,    575.60
  43, 988169.01, 509942.87,    686.60
  44,  49144.10, 576067.12,     28.44
  45, 738468.97, 291284.75,    602.53
  46,  32877.37, 799636.81,    756.16
  47, 831216.45, 625236.25,    448.19
  48, 292703.92, 104447.80,    536.23
  49, 217937.16, 381303.12,    746.86
  50, 367097.80,  45322.99,    257.84
  51, 439104.54, 759773.11,    248.57
  52, 331557.06, 919707.54,    861.07
  53,  27854.25, 682442.73,    954.83
  54,  38333.42, 365032.87,    743.45
  55, 755342.05, 474923.86,    135.78
  56, 133441.84, 631606.90,    693.55
  57, 400624.95, 871887.84,    878.05
  58, 272209.60, 512610.72,    395.96
  59, 304987.35, 437214.31,    426.76
  60, 180898.19, 227611.28,    893.89
  61, 191306.62, 357418.52,    595.03
  62, 542182.19, 631239.32,    939.89
  63, 627507.79, 943370.07,     37.99
  64, 573475.39, 390629.95,    583.59
  65, 456906.73, 916674.77,    904.80
  66, 794417.85, 243713.79,    390.38
  67, 158887.63, 279746.54,    676.92
  68, 225235.85, 777817.14,    434.13
  69, 701251.21, 973459.53,    318.73
  70, 100406.26, 234488.79,    655.07
  71, 386417.70, 806015.68,    442.43
  72, 765345.49, 536062.82,     62.77
  73, 960984.97, 909478.19,     88.74
  74, 158793.67, 764454.83,    694.15
  75, 463347.26, 434885.75,    600.56
  76, 733915.15, 164506.11,    152.93
  77, 844265.37, 981752.00,    338.77
  78, 294001.71, 674293.25,    112.99
  79, 978094.58, 686174.48,    641.68
  80, 380013.46, 264296.38,     77.43
  81,  20678.18,  98460.71,    962.72
  82, 766164.02, 176872.43,    205.88
  83, 555940.56, 376349.15,    475.15
  84, 187080.70, 682192.94,    775.06
  85, 194422.74,  75668.14,    976.26
  86, 839299.15, 365275.39,    452.36
  87,  24583.34, 626669.32,     10.05
  88, 952804.44, 824678.80,    882.39
  89, 230078.18, 576940.65,    945.15
  90, 465853.39, 951667.68,    433.35
  91,  66274.16, 251862.15,    810.35
  92, 995801.31, 479860.01,    598.00
  93, 246219.11, 381334.90,     98.59
  94, 155245.45, 103088.68,    970.55
  95, 358536.40,  32742.03,    423.49
  96, 401751.37, 404874.08,    856.83
  97, 631502.05, 288645.47,    853.03
  98,   9669.54, 836963.00,     53.68
  99, 823242.18, 218377.75,    280.47
 100,  95842.03, 705365.51,    742.99
 101,  35384.38, 890708.97,    230.72
 102, 600724.26, 235975.07,    574.17
 103, 411083.08, 341173.23,    777.26
 104, 529738.78, 271564.05,    101.56
 105, 184791.75, 239340.54,    572.44
 106, 951780.35, 678153.84,    744.51
 107, 828713.45, 555418.19,    515.24
 108, 201539.07, 455456.80,    248.64
 109, 785059.74, 169572.27,     14.87
 110, 400452.83, 392029.73,    348.82
 111, 756707.27, 274609.52,    703.22
 112,  53097.03, 702957.99,    523.23
 113, 867068.30, 658828.47,    430.89
 114, 500935.43, 882510.37,    643.19
 115, 387692.36, 825871.76,    404.03
 116,  34988.33,  77053.87,    175.93
 117, 675859.15, 135608.98,    914.58
 118, 482560.50, 242808.07,    803.35
 119, 562004.63, 206884.58,    645.47
 120, 745334.28, 493658.71,    746.28
 121, 603992.90,  89007.37,    433.11
 122, 942753.02, 847700.76,    302.73
 123, 388993.93, 785911.11,    408.89
 124, 128458.46, 985211.13,    644.41
 125, 717058.22, 677754.72,    963.63
