particle_id,x,y,mass
   0, 617723.81, 844679.58,   1535.07
   1, 934214.41, 676291.63,   2465.58
   2, 611561.09, 746150.65,    378.32
   3, 198186.01, 397889.76,   3488.96
   4, 105159.67, 721235.87,   3692.35
   5, 412690.46, 625048.35,    822.87
   6, 575707.69, 361215.09,   1284.36
   7, 997731.64, 139608.53,   1180.22
   8, 626364.35, 133018.39,   2675.98
   9, 618726.60, 971469.51,   3255.37
  10, 202005.92, 351380.26,     96.17
  11, 866749.21, 788698.39,    516.86
  12, 824903.73, 650777.40,   2766.56
  13, 362728.21, 878839.20,   1330.21
  14, 586529.66, 564172.11,   1833.45
  15,  81951.64,  86249.25,   1800.60
  16, 872868.96, 699584.46,   1674.10
  17, 107752.07, 353052.08,   1921.71
  18, 736922.21, 293575.73,   3009.44
  19, 241700.47, 511693.56,   2403.91
  20, 116206.77, 707643.37,   2713.82
  21, 979692.07, 398520.21,     78.31
  22, 321811.02, 329574.34,    874.58
  23, 863259.77, 621937.21,   2515.53
  24, 805954.20, 928730.68,    904.96
  25, 487078.70, 619610.56,   1094.44
  26, 421324.52, 411550.27,   2741.61
  27, 110123.18, 694666.60,     28.44
  28, 337448.56,  93971.37,   1217.55
  29, 416458.92, 783932.30,   1503.92
  30, 733888.41, 470090.18,    944.83
  31, 427283.66, 868882.88,    878.05
  32, 201796.57, 385458.29,   2143.25
  33, 720654.52, 922788.27,    318.73
  34, 224692.88, 320774.21,   1465.42
  35, 895870.57, 776604.80,   1273.86
  36, 623022.97, 151732.15,    373.68
  37, 287285.50, 588178.34,    112.99
  38, 374947.80, 335563.35,     77.43
  39, 189145.93, 121880.16,   1946.81
  40, 612634.01, 209293.72,   2072.66
  41,  74051.96, 798693.18,    230.72
  42, 606955.17, 231341.88,    904.91
  43, 129478.94, 948084.96,    644.41
