particle_id,x,y,mass
   0, 752264.29, 902386.36,   1535.07
   1, 639347.58, 979539.15,   4139.68
   2, 494647.96, 671530.45,    378.32
   3, 380177.67, 412743.57,  10777.73
   4, 202778.16, 598780.73,   6665.34
   5, 484287.95, 423034.21,   1917.31
   6, 650187.01, 168459.99,   3357.02
   7, 918640.41, 512955.12,   1258.53
   8, 781047.90, 329061.39,   3049.66
   9, 950285.59, 897238.43,   3255.37
  10, 221667.42, 659775.84,   1561.59
  11, 674456.31, 497338.27,   1790.72
  12, 866294.04, 366401.25,   2766.56
  13, 459522.22, 682681.70,   3712.18
  14, 629602.84, 306486.44,   1833.45
  15, 248838.71, 421573.18,   4652.32
  16, 622739.52, 670572.00,   1921.71
  17, 377781.89, 423221.05,   3009.44
  18, 370416.10, 194846.65,   2092.13
  19, 465020.71, 888882.62,   2515.53
  20, 785933.85, 913892.04,   1223.69
  21, 488416.58, 379672.29,    944.83
  22, 606085.12,   7481.76,    112.99
  23, 105358.31, 596210.24,     77.43
  24,   5315.66, 589905.32,    644.41
