particle_id,x,y,mass
   0, 617585.13, 844845.79,   1535.07
   1, 934651.50, 679634.68,   2465.58
   2, 612006.90, 746518.43,    378.32
   3, 198279.08, 395250.50,   5632.21
   4, 108267.35, 719217.37,   3692.35
   5, 413584.34, 624350.84,    822.87
   6, 576065.98, 360680.80,   1284.36
   7, 998260.34, 141736.00,   1180.22
   8, 626133.86, 134561.59,   2675.98
   9, 621667.59, 972333.35,   3255.37
  10, 198957.80, 354754.25,     96.17
  11, 868188.45, 787393.52,    516.86
  12, 826827.73, 650214.75,   2766.56
  13, 363582.00, 877917.21,   1330.21
  14, 587063.51, 563599.00,   1833.45
  15,  83085.44,  86730.86,   1800.60
  16, 873535.01, 701088.30,   1674.10
  17, 109467.32, 353273.43,   1921.71
  18, 735896.35, 293371.37,   3009.44
  19, 241215.60, 510563.86,   2403.91
  20, 112344.27, 709920.83,   2713.82
  21, 979351.28, 398547.32,     78.31
  22, 322732.93, 328626.66,    874.58
  23, 859289.33, 620888.62,   2515.53
  24, 805625.34, 927840.08,    904.96
  25, 487191.21, 619007.66,   1094.44
  26, 421105.24, 411732.91,   2741.61
  27, 112846.67, 701238.06,     28.44
  28, 337574.02,  94458.12,   1217.55
  29, 416726.47, 784242.84,   1503.92
  30, 733689.10, 469649.13,    944.83
  31, 427274.00, 868499.90,    878.05
  32, 720754.32, 921861.01,    318.73
  33, 226614.42, 323734.46,   1465.42
  34, 894396.99, 775282.62,   1273.86
  35, 619565.67, 149232.71,    373.68
  36, 286806.22, 586367.70,    112.99
  37, 374565.99, 337080.04,     77.43
  38, 189188.27, 122376.86,   1946.81
  39, 612325.82, 209050.29,   2072.66
  40,  75036.72, 796283.95,    230.72
  41, 610701.62, 229347.34,    904.91
  42, 129601.02, 947229.42,    644.41
