particle_id,x,y,mass
   0, 616908.71, 845816.37,   1535.07
   1, 935605.87, 696410.15,   2465.58
   2, 614239.70, 748545.28,    378.32
   3, 195709.17, 398492.54,   5632.21
   4, 111580.95, 716092.11,   6434.62
   5, 418316.69, 620785.97,    822.87
   6, 577951.59, 357920.62,   1284.36
   7, 999309.05, 152387.31,   1180.22
   8, 622989.65, 144106.13,   2675.98
   9, 636386.20, 976443.15,   3255.37
  10, 184729.62, 376248.37,     96.17
  11, 877832.56, 778927.46,    516.86
  12, 838245.34, 646046.06,   2766.56
  13, 368208.81, 873007.86,   1330.21
  14, 589747.87, 560637.98,   1833.45
  15,  89019.80,  89300.06,   1800.60
  16, 877053.32, 707726.83,   1674.10
  17, 118853.10, 354746.88,   1921.71
  18, 730628.57, 292332.02,   3009.44
  19, 238664.47, 504456.78,   2403.91
  20, 977600.27, 398654.07,     78.31
  21, 327216.67, 324212.39,    874.58
  22, 838221.92, 618193.52,   2515.53
  23, 803811.96, 923265.51,    904.96
  24, 487657.53, 615901.68,   1094.44
  25, 419888.92, 412585.39,   2741.61
  26, 338194.10,  97038.98,   1217.55
  27, 418051.42, 786002.72,   1503.92
  28, 732636.43, 467304.30,    944.83
  29, 426847.22, 866293.19,    878.05
  30, 721019.25, 917237.57,    318.73
  31, 235716.83, 339774.62,   1465.42
  32, 885966.08, 768657.76,   1273.86
  33, 616012.42, 129410.99,    373.68
  34, 284087.78, 576869.12,    112.99
  35, 372335.65, 345042.16,     77.43
  36, 189341.02, 124942.38,   1946.81
  37, 612132.66, 210721.36,   2072.66
  38,  80470.66, 783224.66,    230.72
  39, 626977.71, 211205.53,    904.91
  40, 130268.93, 942737.01,    644.41
