particle_id,x,y,mass
   0, 615253.21, 854334.43,   1535.07
   1, 889455.49, 782657.31,   2465.58
   2, 628376.34, 768507.68,    378.32
   3, 201426.82, 399935.86,   5632.21
   4, 119904.27, 707049.26,   6665.34
   5, 464747.32, 595482.06,    822.87
   6, 593889.32, 335494.33,   1284.36
   7, 981588.85, 218629.75,   1180.22
   8, 663284.16, 191904.04,   2675.98
   9, 727131.63, 994143.44,   3255.37
  10, 238402.55, 473429.35,   1561.59
  11, 920894.28, 706962.95,   1790.72
  12, 877807.78, 581096.91,   2766.56
  13, 411250.09, 828118.76,   2208.26
  14, 606768.75, 538329.56,   1833.45
  15, 138457.29, 113503.60,   1800.60
  16, 896074.30, 779460.46,   1674.10
  17, 181034.86, 440758.29,   1921.71
  18, 689188.68, 282443.52,   3009.44
  19, 214038.18, 430636.69,   2403.91
  20, 964922.02, 398036.73,     78.31
  21, 349622.11, 310963.04,    874.58
  22, 748506.34, 660768.90,   2515.53
  23, 786049.90, 890820.90,    904.96
  24, 479772.56, 594148.40,   1094.44
  25, 407367.42, 416194.85,   2741.61
  26, 337732.14, 119482.33,   1217.55
  27, 420825.42, 809767.24,   1503.92
  28, 721457.59, 448689.28,    944.83
  29, 715518.12, 895692.79,    318.73
  30, 675380.71, 150826.92,    373.68
  31, 259850.42, 505829.24,    112.99
  32, 357662.93, 405192.03,     77.43
  33, 185247.37, 142768.29,   1946.81
  34, 617783.38, 209933.62,   2072.66
  35, 519490.31, 162614.42,    904.91
  36, 136069.45, 906137.36,    644.41
