particle_id,x,y,mass
   0, 668585.52, 859749.87,   1535.07
   1, 755574.48, 940794.95,   4139.68
   2, 619087.44, 826674.26,    378.32
   3, 324714.68, 398570.56,  10777.73
   4, 138059.99, 640897.47,   6665.34
   5, 509997.83, 529284.30,   1917.31
   6, 655280.93, 218558.82,   3357.02
   7, 911318.92, 383144.13,   1258.53
   8, 781989.13, 247411.79,   3049.66
   9, 933662.14, 965808.32,   3255.37
  10, 148672.87, 635826.37,   1561.59
  11, 863705.24, 600432.31,   1790.72
  12, 924120.96, 461817.46,   2766.56
  13, 452622.97, 748300.21,   3712.18
  14, 653842.75, 445556.18,   1833.45
  15, 246900.73, 232134.11,   4652.32
  16, 245749.97, 691515.83,   1921.71
  17, 529897.46, 324946.22,   3009.44
  18, 274113.41, 321066.44,    874.58
  19, 582637.77, 792649.46,   2515.53
  20, 778234.05, 846184.21,    904.96
  21, 274636.32, 276726.83,   1217.55
  22, 630524.49, 387884.68,    944.83
  23, 773022.03, 853957.32,    318.73
  24, 418273.28, 170243.21,    112.99
  25, 366013.43, 327232.31,     77.43
  26, 170953.14, 707348.70,    644.41
