particle_id,x,y,mass
   0, 621375.63, 843498.60,   1497.08
   1, 909082.47, 661070.74,   2465.58
   2, 599639.39, 740496.42,    378.32
   3, 213038.88, 410772.61,   2585.15
   4,  70478.45, 732975.54,   3692.35
   5, 394214.42, 642528.78,    822.87
   6, 568756.72, 372837.33,   1284.36
   7, 981666.58,  80445.26,   1180.22
   8, 634265.99, 112882.76,   2675.98
   9, 548957.67, 918883.19,     17.82
  10, 260791.99, 279517.75,     96.17
  11, 844852.50, 813617.84,    516.86
  12, 775411.63, 660218.93,   2335.67
  13, 345493.36, 898232.02,   1330.21
  14, 572614.81, 577969.82,   1833.45
  15,  56114.99,  75817.77,   1800.60
  16, 848249.81, 654285.84,   1674.10
  17,  71679.74, 350733.42,   1921.71
  18, 539935.06, 946379.68,   3237.56
  19, 784341.41, 320385.98,   1032.85
  20, 254646.71, 534826.44,   2403.91
  21, 163869.85, 674202.04,    892.00
  22, 987941.35, 396982.02,     78.31
  23, 288554.56, 361970.41,    874.58
  24, 949458.97, 605982.32,   2515.53
  25, 811070.96, 950012.17,    904.96
  26, 205498.05, 383883.17,    903.81
  27, 483380.10, 633803.05,   1094.44
  28, 439334.93, 425984.66,    158.14
  29,  77286.95, 627236.61,     28.44
  30, 743864.33, 286426.05,   1976.60
  31, 316742.43,  98785.52,    536.23
  32, 352647.23,  67179.03,    681.33
  33, 410194.41, 779199.10,   1503.92
  34, 739147.86, 480051.02,    944.83
  35, 149991.35, 697581.35,    693.55
  36, 421441.90, 873487.23,    878.05
  37, 214298.15, 335432.17,   2143.25
  38, 624606.99, 886122.54,     37.99
  39, 160589.82, 721965.78,   1128.28
  40, 713790.67, 946349.62,    318.73
  41, 171446.46, 269074.60,   1465.42
  42, 926432.32, 811295.30,     88.74
  43, 420430.39, 405635.23,   2583.47
  44, 694363.77, 166695.33,    373.68
  45, 294978.25, 629549.03,    112.99
  46, 381439.78, 304324.79,     77.43
  47, 186475.29, 109122.39,   1946.81
  48, 923172.87, 803218.45,   1185.12
  49, 611990.07, 226606.37,   2072.66
  50,  54472.44, 847217.21,    230.72
  51, 540063.50, 243215.82,    904.91
  52, 910730.37, 648820.70,    430.89
  53, 127320.51, 966697.76,    644.41
