particle_id,x,y,mass
   0, 616254.78, 847016.57,   1535.07
   1, 934432.63, 713702.57,   2465.58
   2, 616542.93, 750968.69,    378.32
   3, 192874.39, 400807.61,   5632.21
   4, 112641.26, 715041.11,   6434.62
   5, 423688.76, 616965.78,    822.87
   6, 580084.62, 354866.88,   1284.36
   7, 996576.90, 163419.67,   1180.22
   8, 617344.22, 154125.52,   2675.98
   9, 651602.04, 980320.63,   3255.37
  10, 188394.17, 413300.21,     96.17
  11, 882497.84, 766487.90,   1790.72
  12, 849982.82, 636033.58,   2766.56
  13, 373736.18, 867381.06,   1330.21
  14, 592536.10, 557407.12,   1833.45
  15,  95647.06,  92269.75,   1800.60
  16, 881329.60, 713265.60,   1674.10
  17, 130432.17, 357185.57,   1921.71
  18, 724871.54, 291187.89,   3009.44
  19, 235705.44, 497156.05,   2403.91
  20, 975703.85, 398712.38,     78.31
  21, 331459.07, 320298.23,    874.58
  22, 817160.61, 622555.09,   2515.53
  23, 801645.53, 918379.95,    904.96
  24, 487905.59, 612539.55,   1094.44
  25, 418361.61, 413353.84,   2741.61
  26, 338701.06, 100001.82,   1217.55
  27, 419348.72, 788225.93,   1503.92
  28, 731426.46, 464638.14,    944.83
  29, 425589.08, 863434.71,    878.05
  30, 720835.83, 912600.35,    318.73
  31, 243688.26, 358649.81,   1465.42
  32, 628903.73, 121846.74,    373.68
  33, 280636.93, 566248.20,    112.99
  34, 369431.04, 353822.10,     77.43
  35, 189370.37, 127744.89,   1946.81
  36, 618915.64, 212799.75,   2072.66
  37,  87407.30, 767084.27,    230.72
  38, 628604.41, 188142.51,    904.91
  39, 131054.16, 937666.97,    644.41
