particle_id,x,y,mass
   0, 615153.68, 853605.90,   1535.07
   1, 895393.59, 782277.88,   2465.58
   2, 627197.37, 766366.16,    378.32
   3, 194892.83, 399342.97,   5632.21
   4, 118994.12, 708119.00,   6665.34
   5, 458378.11, 597847.40,    822.87
   6, 592227.98, 337855.07,   1284.36
   7, 983161.82, 213222.25,   1180.22
   8, 655978.08, 194187.72,   2675.98
   9, 719814.25, 993181.73,   3255.37
  10, 244157.45, 463694.64,   1561.59
  11, 912869.27, 710904.14,   1790.72
  12, 875829.35, 585802.35,   2766.56
  13, 408667.69, 833702.08,   2208.26
  14, 605351.55, 540430.66,   1833.45
  15, 133303.25, 110763.45,   1800.60
  16, 896062.07, 765551.45,   1674.10
  17, 187641.43, 430553.75,   1921.71
  18, 693322.77, 283718.00,   3009.44
  19, 217025.09, 441280.74,   2403.91
  20, 966076.89, 398189.21,     78.31
  21, 347970.09, 311142.05,    874.58
  22, 754381.78, 657071.76,   2515.53
  23, 787978.02, 893657.25,    904.96
  24, 482275.42, 595949.34,   1094.44
  25, 408694.85, 415984.67,   2741.61
  26, 338107.77, 117248.72,   1217.55
  27, 421755.66, 805335.20,   1503.92
  28, 722763.46, 450447.51,    944.83
  29, 716057.70, 896794.04,    318.73
  30, 672019.76, 145181.10,    373.68
  31, 262126.31, 512462.71,    112.99
  32, 357759.87, 399528.47,     77.43
  33, 186211.46, 141386.40,   1946.81
  34, 620555.87, 202945.55,   2072.66
  35, 530764.97, 161069.16,    904.91
  36, 135493.51, 909702.56,    644.41
