particle_id,x,y,mass
   0, 618566.52, 843933.59,   1535.07
   1, 929985.14, 656801.30,   2465.58
   2, 608988.16, 744259.67,    378.32
   3, 200425.63, 402635.80,   3488.96
   4,  92990.18, 726791.40,   3692.35
   5, 407845.20, 629027.97,    822.87
   6, 573785.85, 364119.46,   1284.36
   7, 994588.30, 127214.26,   1180.22
   8, 627676.99, 125996.78,   2675.98
   9, 601613.10, 966159.30,   3255.37
  10, 220003.36, 332625.47,     96.17
  11, 860004.06, 795227.47,    516.86
  12, 812507.24, 652326.95,   2335.67
  13, 358199.28, 883866.07,   1330.21
  14, 583463.56, 567395.80,   1833.45
  15,  75660.63,  83607.05,   1800.60
  16, 869102.51, 689604.01,   1674.10
  17,  98440.44, 352006.97,   1921.71
  18, 742655.65, 294686.78,   3009.44
  19, 244497.54, 517850.98,   2403.91
  20, 130807.56, 702506.51,   2713.82
  21, 981626.08, 398324.68,     78.31
  22, 316331.21, 335424.89,    874.58
  23, 885638.36, 630024.32,   2515.53
  24, 807638.54, 933755.26,    904.96
  25, 486361.36, 623009.25,   1094.44
  26, 422521.96, 410425.17,   2741.61
  27,  99357.15, 671719.61,     28.44
  28, 336724.45,  91293.13,   1217.55
  29, 414956.65, 782335.15,   1503.92
  30, 735001.47, 472483.36,    944.83
  31, 426949.91, 870759.66,    878.05
  32, 205936.24, 366273.43,   2143.25
  33, 719800.38, 928153.80,    318.73
  34, 213216.01, 304846.91,   1465.42
  35, 903651.67, 783981.43,   1273.86
  36, 642804.45, 159067.73,    373.68
  37, 289791.97, 598218.98,    112.99
  38, 376866.72, 327261.30,     77.43
  39, 188836.41, 119046.87,   1946.81
  40, 613747.35, 212291.48,   2072.66
  41,  68754.82, 811772.38,    230.72
  42, 587470.60, 237994.85,    904.91
  43, 835817.93, 665124.30,    430.89
  44, 128838.49, 952838.08,    644.41
