particle_id,x,y,mass
   0, 621817.69, 844208.01,   1497.08
   1, 918705.54, 667843.32,   2465.58
   2, 596406.06, 739836.95,    378.32
   3, 221212.54, 415937.53,   2585.15
   4,  64843.62, 736397.01,   1461.25
   5, 390433.16, 646677.71,    822.87
   6, 567675.79, 375705.39,   1284.36
   7, 976553.45,  62989.16,   1180.22
   8, 636819.80, 111300.30,   2675.98
   9, 532795.34, 902483.41,     17.82
  10, 269338.43, 266326.59,     96.17
  11, 841145.20, 818577.48,    516.86
  12, 766964.06, 663426.85,   2335.67
  13, 341328.85, 902097.36,   1330.21
  14, 568916.27, 581382.21,   1833.45
  15,  50285.46,  73630.07,   1800.60
  16, 844506.30, 642560.24,   1674.10
  17,  64446.35, 350951.63,   1921.71
  18, 524443.16, 941953.68,   1256.22
  19, 793100.53, 326903.80,   1032.85
  20, 257982.51, 539043.70,   2403.91
  21, 175845.95, 671476.19,    892.00
  22, 989773.78, 396210.94,     78.31
  23, 272214.40, 373194.22,    874.58
  24, 958239.97, 592434.47,   2515.53
  25, 811658.91, 955006.78,    904.96
  26, 199179.03, 345289.39,    903.81
  27, 482284.52, 636844.51,   1094.44
  28, 445227.26, 442004.47,    158.14
  29,  71538.60, 616590.90,     28.44
  30, 740470.36, 288759.84,   1305.75
  31, 311325.27, 100528.81,    536.23
  32, 355316.10,  61452.28,    681.33
  33, 408472.93, 778755.60,   1503.92
  34,  68084.70, 727677.66,   2231.10
  35, 740960.10, 482735.18,    944.83
  36, 142645.30, 684323.11,    693.55
  37, 418344.27, 873141.02,    878.05
  38, 215827.74, 330879.13,   2143.25
  39, 625358.28, 900161.82,     37.99
  40, 510552.65, 932655.46,   1981.34
  41, 763970.82, 270864.92,    670.85
  42, 167641.04, 734255.02,   1128.28
  43, 711597.73, 951935.15,    318.73
  44, 157592.93, 261588.19,   1465.42
  45, 936119.44, 839722.01,     88.74
  46, 420446.37, 402672.05,   2583.47
  47, 707553.58, 168868.08,    373.68
  48, 295856.48, 638623.30,    112.99
  49, 382310.44, 297543.53,     77.43
  50, 185124.62, 105705.69,   1946.81
  51, 929013.42, 808740.42,   1185.12
  52, 614336.94, 238850.92,    853.03
  53,  50476.88, 856719.02,    230.72
  54, 609016.56, 222362.88,   1219.63
  55, 528824.79, 243415.50,    904.91
  56, 893912.52, 639650.85,    430.89
  57, 127069.76, 970517.65,    644.41
