particle_id,x,y,mass
   0, 626173.79, 859855.90,   1535.07
   1, 824079.24, 870463.59,   4139.68
   2, 651992.90, 823045.99,    378.32
   3, 263254.03, 394867.92,   8036.12
   4, 143079.67, 681213.67,   6665.34
   5, 494801.60, 559414.67,   1917.31
   6, 644934.67, 269059.50,   3357.02
   7, 949086.04, 310666.68,   1180.22
   8, 748700.60, 206614.36,   3049.66
   9, 849946.67, 993945.58,   3255.37
  10, 134924.82, 555348.77,   1561.59
  11, 961089.78, 648933.21,   1790.72
  12, 907803.63, 511248.22,   2766.56
  13, 434047.54, 787916.01,   3712.18
  14, 634576.03, 496842.61,   1833.45
  15, 207818.73, 174064.18,   3747.41
  16, 171090.47, 567308.05,   1921.71
  17, 579220.49, 277807.87,   3009.44
  18, 940920.39, 389455.07,     78.31
  19, 366278.86, 337606.03,    874.58
  20, 654471.19, 727991.47,   2515.53
  21, 760606.38, 843677.47,    904.96
  22, 367683.50, 419761.15,   2741.61
  23, 325334.18, 175861.68,   1217.55
  24, 684521.43, 415746.59,    944.83
  25, 720403.23, 879821.38,    318.73
  26, 286949.88, 294499.13,    112.99
  27, 409181.21, 411955.86,     77.43
  28, 328066.70, 203792.36,    904.91
  29, 151112.73, 822860.57,    644.41
