particle_id,x,y,mass
   0, 713340.84, 874508.89,   1535.07
   1, 692934.23, 988371.42,   4139.68
   2, 571448.54, 753614.39,    378.32
   3, 352372.25, 409243.96,  10777.73
   4, 170129.49, 624021.92,   6665.34
   5, 511416.86, 486531.36,   1917.31
   6, 656847.20, 187494.46,   3357.02
   7, 899250.47, 467523.54,   1258.53
   8, 788570.57, 290843.99,   3049.66
   9, 996101.91, 930529.27,   3255.37
  10,  44142.48, 672497.93,   1561.59
  11, 766066.61, 549595.89,   1790.72
  12, 909938.03, 407006.02,   2766.56
  13, 464657.77, 700785.80,   3712.18
  14, 649382.81, 374270.27,   1833.45
  15, 240831.86, 327781.14,   4652.32
  16, 441993.38, 722499.92,   1921.71
  17, 478813.14, 371772.34,   3009.44
  18, 295186.19, 213885.77,   2092.13
  19, 519473.71, 852353.50,   2515.53
  20, 794656.72, 879041.68,   1223.69
  21, 568584.02, 377183.77,    944.83
  22, 518941.07,  75937.81,    112.99
  23, 221301.52, 336249.19,     77.43
  24,  80419.76, 596736.50,    644.41
