particle_id,x,y,mass
   0, 615164.35, 853703.71,   1535.07
   1, 894518.24, 782618.48,   2465.58
   2, 627354.25, 766645.95,    378.32
   3, 195763.03, 399352.12,   5632.21
   4, 119113.75, 707977.79,   6665.34
   5, 459148.04, 597539.41,    822.87
   6, 592444.15, 337548.92,   1284.36
   7, 982953.66, 213942.90,   1180.22
   8, 656989.74, 193864.08,   2675.98
   9, 720790.78, 993314.56,   3255.37
  10, 243439.79, 465046.15,   1561.59
  11, 913949.41, 710371.46,   1790.72
  12, 876097.41, 585168.27,   2766.56
  13, 408984.50, 833016.67,   2208.26
  14, 605539.95, 540153.76,   1833.45
  15, 133973.16, 111116.57,   1800.60
  16, 896188.97, 767015.70,   1674.10
  17, 186676.57, 432041.69,   1921.71
  18, 692782.84, 283559.20,   3009.44
  19, 216706.52, 439933.93,   2403.91
  20, 965924.27, 398170.20,     78.31
  21, 348190.82, 311109.73,    874.58
  22, 753594.33, 657564.40,   2515.53
  23, 787726.54, 893279.78,    904.96
  24, 482000.37, 595705.64,   1094.44
  25, 408520.71, 416013.80,   2741.61
  26, 338061.31, 117541.76,   1217.55
  27, 421670.75, 805845.37,   1503.92
  28, 722593.82, 450215.69,    944.83
  29, 715982.28, 896640.84,    318.73
  30, 672487.62, 145883.86,    373.68
  31, 261827.48, 511589.85,    112.99
  32, 357722.25, 400277.46,     77.43
  33, 186094.06, 141574.83,   1946.81
  34, 620131.93, 203885.48,   2072.66
  35, 529251.99, 161266.34,    904.91
  36, 135569.09, 909233.78,    644.41
