particle_id,x,y,mass
   0, 621794.08, 844144.99,   1497.08
   1, 917984.18, 667483.63,   2465.58
   2, 596658.03, 739883.18,    378.32
   3, 220594.88, 415647.69,   2585.15
   4,  65687.73, 733791.23,   3692.35
   5, 390714.84, 646366.74,    822.87
   6, 567748.72, 375481.69,   1284.36
   7, 976964.90,  64383.81,   1180.22
   8, 636613.92, 111384.24,   2675.98
   9, 534296.10, 903330.16,     17.82
  10, 268707.09, 267322.26,     96.17
  11, 841410.61, 818218.55,    516.86
  12, 767553.44, 663185.48,   2335.67
  13, 341653.75, 901815.93,   1330.21
  14, 569204.56, 581118.32,   1833.45
  15,  50723.94,  73792.77,   1800.60
  16, 844759.53, 643464.87,   1674.10
  17,  64988.16, 350923.99,   1921.71
  18, 524572.48, 941476.33,   1256.22
  19, 792502.32, 326466.24,   1032.85
  20, 257727.02, 538737.91,   2403.91
  21, 175047.08, 671533.43,    892.00
  22, 989638.68, 396277.80,     78.31
  23, 273655.00, 372247.66,    874.58
  24, 957604.96, 593437.64,   2515.53
  25, 811618.18, 954625.43,    904.96
  26, 199312.41, 348675.75,    903.81
  27, 482368.91, 636622.94,   1094.44
  28, 444930.87, 440950.89,    158.14
  29,  71966.63, 617366.94,     28.44
  30, 740673.63, 288569.36,   1305.75
  31, 311719.35, 100413.23,    536.23
  32, 355129.40,  61873.12,    681.33
  33, 408611.68, 778781.87,   1503.92
  34, 740816.87, 482534.36,    944.83
  35, 143091.28, 685329.15,    693.55
  36, 418608.71, 873195.02,    878.05
  37, 215840.27, 330983.76,   2143.25
  38, 625326.33, 899160.74,     37.99
  39, 512196.36, 933703.40,   1981.34
  40, 762837.88, 271807.73,    670.85
  41, 167163.58, 733400.24,   1128.28
  42, 711762.92, 951513.84,    318.73
  43, 158689.27, 262142.33,   1465.42
  44, 935505.34, 837956.40,     88.74
  45, 420444.95, 402884.84,   2583.47
  46, 706580.16, 168694.86,    373.68
  47, 295799.98, 637946.93,    112.99
  48, 382261.12, 298068.47,     77.43
  49, 185240.12, 105974.14,   1946.81
  50, 928572.69, 808306.54,   1185.12
  51, 613629.64, 237091.65,    853.03
  52,  50775.80, 856015.62,    230.72
  53, 609697.83, 222964.29,   1219.63
  54, 529647.92, 243404.48,    904.91
  55, 894872.88, 639841.12,    430.89
  56, 127083.67, 970237.04,    644.41
