particle_id,x,y,mass
   0, 777121.14, 938583.95,   2758.76
   1, 587297.71, 939642.28,   4139.68
   2, 362929.22, 625191.04,    378.32
   3, 403272.27, 502641.21,  10777.73
   4, 251700.71, 567315.18,   6665.34
   5, 353544.70, 360175.03,   1917.31
   6, 638869.24, 158744.37,   3357.02
   7, 928760.14, 551448.52,   1258.53
   8, 782230.38, 366290.43,   3049.66
   9, 888201.13, 862375.27,   3255.37
  10, 398943.28, 572212.41,   1561.59
  11, 572262.23, 437794.21,   1790.72
  12, 786115.72, 325402.94,   2766.56
  13, 456260.82, 649979.92,   3712.18
  14, 605156.43, 234293.90,   1833.45
  15, 301472.29, 531254.34,   4652.32
  16, 782886.74, 606258.70,   1921.71
  17, 358780.88, 246828.47,   3009.44
  18, 449530.08, 197898.25,   2092.13
  19, 413243.76, 916617.29,   2515.53
  20, 425717.19, 420694.30,    944.83
  21, 693539.25,  58570.70,    112.99
  22,  26098.49, 857057.64,     77.43
  23,  91283.13, 582706.57,    644.41
