particle_id,x,y,mass
   0, 785638.48, 961055.68,   2758.76
   1, 542593.77, 900961.98,   4139.68
   2, 318462.66, 506127.72,    378.32
   3, 418952.88, 592043.21,  10777.73
   4, 357656.94, 531153.25,   6665.34
   5, 219199.63, 332343.25,   1917.31
   6, 615452.50, 166775.62,   3357.02
   7, 925588.91, 583641.66,   1258.53
   8, 792013.41, 359034.67,   3049.66
   9, 824962.77, 834973.20,   3255.37
  10, 468657.39, 433659.36,   1561.59
  11, 474534.55, 383606.02,   1790.72
  12, 694240.20, 333414.91,   2766.56
  13, 412932.65, 579446.48,   3712.18
  14, 599658.86, 153275.19,   1833.45
  15, 340537.42, 619561.13,   4652.32
  16, 922462.47, 547211.15,   1921.71
  17, 366461.28, 117188.77,   3009.44
  18, 521582.72, 208982.88,   2092.13
  19, 375318.26, 938218.67,   2515.53
  20, 366227.33, 500096.77,    944.83
  21, 762635.63, 131190.34,    112.99
  22,  38077.60, 921251.63,     77.43
  23, 179661.78, 574743.68,    644.41
