particle_id,x,y,mass
   0, 624463.18, 860089.22,   1535.07
   1, 830058.61, 863443.67,   4139.68
   2, 650444.00, 817022.19,    378.32
   3, 258297.41, 395440.48,   8036.12
   4, 140779.72, 683866.06,   6665.34
   5, 492959.87, 562143.02,   1917.31
   6, 642624.78, 274526.43,   3357.02
   7, 952032.97, 303789.39,   1180.22
   8, 744017.02, 203516.18,   3049.66
   9, 840896.68, 995240.33,   3255.37
  10, 137820.22, 553664.70,   1561.59
  11, 969841.42, 653292.14,   1790.72
  12, 905818.77, 516120.76,   2766.56
  13, 432478.53, 791133.88,   3712.18
  14, 632376.88, 500556.03,   1833.45
  15, 203717.41, 169461.98,   3747.41
  16, 172925.17, 555107.42,   1921.71
  17, 585766.12, 272883.35,   3009.44
  18, 943073.91, 390755.60,     78.31
  19, 366544.82, 333285.72,    874.58
  20, 661361.98, 722484.43,   2515.53
  21, 760505.03, 846744.46,    904.96
  22, 372491.27, 419787.16,   2741.61
  23, 326320.35, 169479.55,   1217.55
  24, 688491.04, 418547.08,    944.83
  25, 718899.96, 881578.32,    318.73
  26, 272576.12, 307680.91,    112.99
  27, 408997.63, 420676.54,     77.43
  28, 344070.34, 200816.79,    904.91
  29, 149599.66, 830939.16,    644.41
