particle_id,x,y,mass
   0, 663374.69, 858657.84,   1535.07
   1, 763246.93, 933704.23,   4139.68
   2, 621384.38, 835565.75,    378.32
   3, 320759.30, 396389.24,  10777.73
   4, 142425.13, 646073.19,   6665.34
   5, 508749.95, 533217.65,   1917.31
   6, 654443.26, 223335.28,   3357.02
   7, 916163.08, 374984.07,   1258.53
   8, 779626.18, 242355.91,   3049.66
   9, 925479.85, 969764.86,   3255.37
  10, 146870.42, 613553.88,   1561.59
  11, 874976.89, 606123.76,   1790.72
  12, 922914.43, 467447.18,   2766.56
  13, 450391.45, 753266.90,   3712.18
  14, 652494.93, 452722.30,   1833.45
  15, 243589.76, 224522.19,   4652.32
  16, 221745.87, 686284.38,   1921.71
  17, 535062.59, 319883.81,   3009.44
  18, 287138.53, 357225.94,    874.58
  19, 590647.95, 784810.90,   2515.53
  20, 777162.95, 841947.12,    904.96
  21, 284094.89, 265209.41,   1217.55
  22, 637535.49, 390341.72,    944.83
  23, 762746.55, 857537.99,    318.73
  24, 405700.18, 182952.71,    112.99
  25, 376624.51, 333902.90,     77.43
  26, 168363.19, 724638.09,    644.41
