particle_id,x,y,mass
   0, 621805.95, 844176.55,   1497.08
   1, 918345.79, 667666.14,   2465.58
   2, 596531.87, 739859.94,    378.32
   3, 220904.22, 415793.78,   2585.15
   4,  65313.46, 734743.30,   1461.25
   5, 390573.48, 646522.71,    822.87
   6, 567711.95, 375593.68,   1284.36
   7, 976759.22,  63686.45,   1180.22
   8, 636716.71, 111341.69,   2675.98
   9, 533550.44, 902898.12,     17.82
  10, 269023.80, 266823.30,     96.17
  11, 841277.27, 818398.80,    516.86
  12, 767257.02, 663306.55,   2335.67
  13, 341491.03, 901957.19,   1330.21
  14, 569060.21, 581250.47,   1833.45
  15,  50504.10,  73711.18,   1800.60
  16, 844632.17, 643011.70,   1674.10
  17,  64716.50, 350937.69,   1921.71
  18, 524507.44, 941715.51,   1256.22
  19, 792803.37, 326686.65,   1032.85
  20, 257854.90, 538891.57,   2403.91
  21, 175449.10, 671502.73,    892.00
  22, 989706.48, 396244.49,     78.31
  23, 272937.85, 372719.63,    874.58
  24, 957923.71, 592934.50,   2515.53
  25, 811638.65, 954816.50,    904.96
  26, 199229.52, 346995.02,    903.81
  27, 482326.57, 636734.22,   1094.44
  28, 445079.22, 441477.72,    158.14
  29,  71751.96, 616978.19,     28.44
  30, 740568.42, 288666.54,   1305.75
  31, 311521.54, 100471.47,    536.23
  32, 355223.25,  61661.98,    681.33
  33, 408542.17, 778768.44,   1503.92
  34,  68088.43, 728713.01,   2231.10
  35, 740888.51, 482635.10,    944.83
  36, 142864.69, 684825.43,    693.55
  37, 418476.98, 873168.71,    878.05
  38, 215840.56, 330923.88,   2143.25
  39, 625342.17, 899663.85,     37.99
  40, 511354.47, 933166.96,   1981.34
  41, 763410.45, 271330.76,    670.85
  42, 167402.40, 733828.96,   1128.28
  43, 711680.08, 951725.04,    318.73
  44, 158140.81, 261864.36,   1465.42
  45, 935814.40, 838845.78,     88.74
  46, 420445.70, 402778.02,   2583.47
  47, 707068.33, 168781.56,    373.68
  48, 295828.19, 638286.27,    112.99
  49, 382286.18, 297805.66,     77.43
  50, 185182.52, 105839.83,   1946.81
  51, 928793.69, 808523.97,   1185.12
  52, 613989.92, 237992.53,    853.03
  53,  50625.98, 856367.82,    230.72
  54, 609352.64, 222649.30,   1219.63
  55, 529235.24, 243409.96,    904.91
  56, 894386.11, 639740.27,    430.89
  57, 127076.54, 970377.72,    644.41
