particle_id,x,y,mass
   0, 683588.88, 862886.31,   1535.07
   1, 734013.78, 959259.26,   4139.68
   2, 609215.90, 799750.98,    378.32
   3, 335136.08, 403556.76,  10777.73
   4, 146406.30, 635006.43,   6665.34
   5, 512494.31, 516956.20,   1917.31
   6, 657104.07, 206365.81,   3357.02
   7, 897599.18, 409159.88,   1258.53
   8, 786702.03, 261969.80,   3049.66
   9, 955765.63, 954205.74,   3255.37
  10,  74513.21, 663040.31,   1561.59
  11, 831254.08, 583991.97,   1790.72
  12, 926024.61, 444564.60,   2766.56
  13, 458622.76, 733429.99,   3712.18
  14, 655542.73, 423217.71,   1833.45
  15, 257738.89, 261114.85,   4652.32
  16, 311543.00, 704302.82,   1921.71
  17, 514507.45, 339651.20,   3009.44
  18, 243668.17, 264937.92,   2092.13
  19, 560590.73, 814893.80,   2515.53
  20, 785802.10, 855757.45,   1223.69
  21, 610132.46, 382613.81,    944.83
  22, 452980.58, 136086.55,    112.99
  23, 330018.29, 316671.08,     77.43
  24, 173040.56, 648160.06,    644.41
