particle_id,x,y,mass
   0, 680366.74, 862120.48,   1535.07
   1, 738525.77, 955588.33,   4139.68
   2, 612035.35, 805409.53,    378.32
   3, 333036.79, 402622.34,  10777.73
   4, 144663.09, 635212.50,   6665.34
   5, 512114.28, 519709.10,   1917.31
   6, 656844.07, 208773.33,   3357.02
   7, 900343.21, 403172.93,   1258.53
   8, 785946.71, 258879.66,   3049.66
   9, 951198.27, 956685.58,   3255.37
  10,  88792.64, 661415.26,   1561.59
  11, 838145.44, 587506.12,   1790.72
  12, 925879.45, 448437.90,   2766.56
  13, 457434.37, 736667.59,   3712.18
  14, 655475.56, 428147.09,   1833.45
  15, 255785.02, 253024.70,   4652.32
  16, 297841.53, 701819.84,   1921.71
  17, 517855.68, 336477.68,   3009.44
  18, 248574.87, 275133.23,   2092.13
  19, 565139.59, 810297.45,   2515.53
  20, 784249.19, 853648.23,   1223.69
  21, 614466.41, 383512.15,    944.83
  22, 445754.24, 143071.33,    112.99
  23, 338114.95, 317874.84,     77.43
  24, 174290.52, 662411.65,    644.41
