particle_id,x,y,mass
   0, 615474.56, 855327.98,   1535.07
   1, 885463.06, 787337.64,   4139.68
   2, 630089.23, 771634.07,    378.32
   3, 211106.36, 404611.20,   5632.21
   4, 121230.81, 705510.60,   6665.34
   5, 472721.45, 592151.40,   1917.31
   6, 596385.43, 331910.04,   1284.36
   7, 979339.60, 226209.90,   1180.22
   8, 672809.04, 189182.53,   2675.98
   9, 737353.04, 995352.91,   3255.37
  10, 229647.51, 486100.12,   1561.59
  11, 931842.95, 701671.44,   1790.72
  12, 880522.16, 574669.27,   2766.56
  13, 415186.41, 820359.69,   3712.18
  14, 608806.29, 535325.05,   1833.45
  15, 146251.93, 117761.77,   1800.60
  16, 174810.64, 452410.63,   1921.71
  17, 683061.71, 280310.31,   3009.44
  18, 207150.79, 409886.05,   2403.91
  19, 963265.18, 397782.93,     78.31
  20, 351916.54, 310966.47,    874.58
  21, 740395.38, 665965.03,   2515.53
  22, 783216.69, 886852.03,    904.96
  23, 405427.97, 416466.47,   2741.61
  24, 337099.32, 122749.20,   1217.55
  25, 719502.83, 446190.17,    944.83
  26, 714892.66, 894310.41,    318.73
  27, 679436.71, 160580.64,    373.68
  28, 255867.26, 495475.72,    112.99
  29, 358324.25, 413253.13,     77.43
  30, 183506.62, 144520.79,   1946.81
  31, 615007.22, 219571.56,   2072.66
  32, 503939.69, 165015.72,    904.91
  33, 136912.87, 900951.06,    644.41
