particle_id,x,y,mass
   0, 621559.65, 843670.88,   1497.08
   1, 912112.41, 663799.05,   2465.58
   2, 598649.66, 740277.60,    378.32
   3, 215620.17, 412826.20,   2585.15
   4,  68818.47, 733281.41,   3692.35
   5, 393019.55, 643832.13,    822.87
   6, 568392.49, 373714.74,   1284.36
   7, 980139.59,  75203.17,   1180.22
   8, 635034.60, 112258.17,   2675.98
   9, 544702.16, 912417.34,     17.82
  10, 263522.15, 275366.52,     96.17
  11, 843647.02, 815216.57,    516.86
  12, 772616.18, 661219.38,   2335.67
  13, 344220.69, 899471.99,   1330.21
  14, 571483.32, 579020.02,   1833.45
  15,  54285.80,  75125.52,   1800.60
  16, 846966.93, 650687.12,   1674.10
  17,  69396.90, 350768.38,   1921.71
  18, 532884.33, 943304.71,   3237.56
  19, 787287.06, 322596.39,   1032.85
  20, 255681.89, 536183.22,   2403.91
  21, 167938.14, 672811.32,    892.00
  22, 988523.69, 396765.56,     78.31
  23, 284020.07, 365225.50,    874.58
  24, 952306.54, 601670.46,   2515.53
  25, 811270.24, 951562.70,    904.96
  26, 202883.70, 372640.96,    903.81
  27, 483043.90, 634776.58,   1094.44
  28, 441867.31, 431755.72,    158.14
  29,  75466.41, 623809.86,     28.44
  30, 743852.02, 286138.93,   1305.75
  31, 314995.72,  99384.69,    536.23
  32, 353532.05,  65347.95,    681.33
  33, 409683.77, 779042.04,   1503.92
  34, 739693.93, 480892.31,    944.83
  35, 147343.01, 693445.52,    693.55
  36, 420540.13, 873444.59,    878.05
  37, 214967.14, 333486.12,   2143.25
  38, 624970.22, 890692.84,     37.99
  39, 751174.37, 281495.04,    670.85
  40, 163016.52, 726121.72,   1128.28
  41, 713103.28, 948098.01,    318.73
  42, 167250.05, 266688.27,   1465.42
  43, 930019.26, 821915.61,     88.74
  44, 420426.84, 404668.92,   2583.47
  45, 698582.67, 167339.10,    373.68
  46, 295284.71, 632414.40,    112.99
  47, 381760.94, 302240.58,     77.43
  48, 186092.42, 108083.54,   1946.81
  49, 924987.36, 804851.07,   1185.12
  50, 611614.56, 228091.69,   2072.66
  51,  53212.87, 850239.82,    230.72
  52, 536421.22, 243304.11,    904.91
  53, 904444.47, 643635.00,    430.89
  54, 127228.02, 967916.52,    644.41
