particle_id,x,y,mass
   0, 618244.64, 844164.17,   1535.07
   1, 931908.19, 664052.39,   2465.58
   2, 609938.40, 744911.99,    378.32
   3, 199490.60, 401430.70,   3488.96
   4,  96808.97, 725283.74,   3692.35
   5, 409573.36, 627567.68,    822.87
   6, 574465.09, 363088.95,   1284.36
   7, 995767.64, 131814.63,   1180.22
   8, 627159.98, 128300.91,   2675.98
   9, 607960.05, 968185.75,   3255.37
  10, 213423.24, 339357.66,     96.17
  11, 862246.82, 792957.65,    516.86
  12, 817500.94, 652043.32,   2335.67
  13, 359795.03, 882067.81,   1330.21
  14, 584592.76, 566221.93,   1833.45
  15,  77934.32,  84556.01,   1800.60
  16, 870477.41, 693480.86,   1674.10
  17, 101755.02, 352354.35,   1921.71
  18, 740581.61, 294293.58,   3009.44
  19, 243463.13, 515649.28,   2403.91
  20, 126297.85, 703705.19,   2713.82
  21, 980918.48, 398404.60,     78.31
  22, 318407.74, 333192.73,    874.58
  23, 877389.40, 626659.50,   2515.53
  24, 807058.23, 931923.51,    904.96
  25, 486637.93, 621770.91,   1094.44
  26, 422093.37, 410854.24,   2741.61
  27, 102739.03, 678797.70,     28.44
  28, 336991.70,  92256.02,   1217.55
  29, 415501.54, 782888.63,   1503.92
  30, 734597.25, 471629.72,    944.83
  31, 427146.31, 870131.72,    878.05
  32, 204697.06, 371919.49,   2143.25
  33, 720169.43, 926174.02,    318.73
  34, 217532.01, 310416.23,   1465.42
  35, 900899.27, 781297.05,   1273.86
  36, 635796.97, 157205.02,    373.68
  37, 288923.23, 594586.50,    112.99
  38, 376211.24, 330231.75,     77.43
  39, 188962.93, 120086.41,   1946.81
  40, 613482.91, 210976.94,   2072.66
  41,  70626.87, 807129.00,    230.72
  42, 594218.62, 236202.95,    904.91
  43, 829374.55, 658562.05,    430.89
  44, 129063.34, 951125.86,    644.41
