particle_id,x,y,mass
   0, 615939.24, 856578.02,   1535.07
   1, 878881.36, 797480.32,   4139.68
   2, 632550.57, 776001.13,    378.32
   3, 217295.73, 402648.24,   8036.12
   4, 123131.38, 703367.44,   6665.34
   5, 475261.18, 588293.63,   1917.31
   6, 600076.33, 326512.81,   1284.36
   7, 976247.44, 236333.39,   1180.22
   8, 684847.28, 185746.06,   3049.66
   9, 750961.29, 996671.04,   3255.37
  10, 217294.08, 501160.77,   1561.59
  11, 945897.78, 695024.24,   1790.72
  12, 884087.93, 566372.40,   2766.56
  13, 417411.55, 817257.02,   3712.18
  14, 611639.40, 531234.02,   1833.45
  15, 158142.03, 124653.87,   1800.60
  16, 169840.38, 465228.53,   1921.71
  17, 674231.26, 276776.63,   3009.44
  18, 960978.69, 397363.71,     78.31
  19, 354880.66, 311506.07,    874.58
  20, 729779.12, 672965.04,   2515.53
  21, 779315.10, 881545.51,    904.96
  22, 402668.34, 416844.78,   2741.61
  23, 336065.84, 127387.51,   1217.55
  24, 716656.54, 442824.80,    944.83
  25, 714390.80, 892656.79,    318.73
  26, 247020.96, 479731.48,    112.99
  27, 360837.04, 424018.84,     77.43
  28, 180103.06, 146167.40,   1946.81
  29, 612617.34, 232500.79,   2072.66
  30, 483490.21, 168610.74,    904.91
  31, 138136.09, 893648.49,    644.41
