particle_id,x,y,mass
   0, 621144.63, 843380.16,   1497.08
   1, 906826.43, 656691.59,   2465.58
   2, 600647.16, 740736.74,    378.32
   3, 210237.41, 407764.06,   2585.15
   4,  72239.25, 732628.83,   3692.35
   5, 395464.47, 641176.85,    822.87
   6, 569163.07, 371941.52,   1284.36
   7, 983187.50,  85691.84,   1180.22
   8, 633494.82, 113653.07,   2675.98
   9, 552599.52, 927339.45,     17.82
  10, 257806.58, 283964.37,     96.17
  11, 846115.40, 811924.59,    516.86
  12, 778462.08, 659200.67,   2335.67
  13, 346786.69, 896921.79,   1330.21
  14, 573767.00, 576894.16,   1833.45
  15,  58014.57,  76542.03,   1800.60
  16, 849776.02, 657910.50,   1674.10
  17,  74091.77, 350718.64,   1921.71
  18, 547027.94, 949378.46,   3237.56
  19, 781058.30, 317925.17,   1032.85
  20, 253580.24, 533382.00,   2403.91
  21, 159424.27, 676346.56,    892.00
  22, 987331.50, 397185.47,     78.31
  23, 292723.20, 358724.57,    874.58
  24, 946374.37, 610547.67,   2515.53
  25, 810842.08, 948412.86,    904.96
  26, 208744.89, 396533.99,    903.81
  27, 483719.96, 632778.27,   1094.44
  28, 435469.36, 418824.28,    158.14
  29,  79194.01, 630884.71,     28.44
  30, 743085.31, 287455.07,   1976.60
  31, 318615.89,  98101.71,    536.23
  32, 351672.26,  69122.41,    681.33
  33, 410700.26, 779378.91,   1503.92
  34, 738622.80, 479212.09,    944.83
  35, 153125.88, 702096.06,    693.55
  36, 422317.49, 873476.45,    878.05
  37, 213591.61, 337563.59,   2143.25
  38, 624099.26, 881169.93,     37.99
  39, 157745.72, 717064.62,   1128.28
  40, 714506.41, 944538.05,    318.73
  41, 175748.58, 271686.93,   1465.42
  42, 923631.16, 805822.87,   1273.86
  43, 420472.02, 406692.90,   2583.47
  44, 689896.45, 166067.92,    373.68
  45, 294630.24, 626554.10,    112.99
  46, 381069.33, 306438.73,     77.43
  47, 186836.96, 110172.63,   1946.81
  48, 612356.56, 225089.47,   2072.66
  49,  55786.80, 844036.15,    230.72
  50, 543982.05, 243087.75,    904.91
  51, 913246.13, 661865.47,    430.89
  52, 127427.86, 965416.03,    644.41
