particle_id,x,y,mass
   0, 622951.67, 845568.82,   1497.08
   1, 938919.85, 673599.29,   2465.58
   2, 588214.14, 738787.60,    378.32
   3, 231650.79, 408470.02,   2585.15
   4,  52168.29, 777333.61,   1407.57
   5, 382357.91, 655919.11,    822.87
   6, 566782.76, 382525.67,   1284.36
   7, 961510.89,  12971.33,   1180.22
   8, 645427.95, 114083.06,   2580.74
   9, 461586.77, 931597.96,     17.82
  10, 285141.80, 237468.92,     96.17
  11, 833861.21, 828046.17,    516.86
  12, 752393.44, 670020.50,   2335.67
  13, 331489.36, 909317.80,   1330.21
  14, 559511.91, 589756.91,   1833.45
  15,  41378.83,  50851.18,    661.95
  16, 815864.24, 626624.61,     93.47
  17,  48594.85, 352470.53,   1921.71
  18, 521683.70, 956538.04,   1256.22
  19, 807398.83, 316067.50,    279.95
  20, 274585.60, 534608.76,    469.21
  21, 835982.71, 610112.35,   1580.64
  22, 796917.33, 345226.14,    300.54
  23, 193442.45, 674441.87,    892.00
  24, 282139.32, 546066.36,    989.56
  25, 993435.57, 393265.37,     78.31
  26, 242338.74, 436776.28,    874.58
  27, 612234.12,  49565.85,     95.24
  28, 977995.86, 540102.98,   1488.20
  29, 967705.82, 596829.97,   1027.33
  30, 812539.63, 966634.04,    904.96
  31, 248176.08, 301944.94,    903.81
  32, 480028.07, 642492.49,   1094.44
  33, 453938.99, 476946.13,    158.14
  34,  58830.09, 593573.94,     28.44
  35, 741417.12, 289908.16,   1305.75
  36, 300327.11, 103159.55,    536.23
  37, 360044.03,  49645.62,    681.33
  38, 413294.55, 772526.05,    248.57
  39,  59070.22, 703181.69,   2231.10
  40, 744694.47, 486571.96,    882.06
  41, 135436.53, 655131.55,    693.55
  42, 408434.91, 868863.14,    878.05
  43, 191727.06, 303108.70,   2143.25
  44, 626959.16, 926040.77,     37.99
  45, 483439.58, 916660.95,   1981.34
  46, 787401.80, 251889.86,    670.85
  47, 201393.23, 762053.20,    434.13
  48, 706693.32, 964267.91,    318.73
  49, 122046.65, 247170.70,   1465.42
  50, 399014.98, 785880.48,   1255.35
  51, 763938.02, 510092.48,     62.77
  52, 951422.84, 882631.99,     88.74
  53, 163627.06, 753084.02,    694.15
  54, 435390.85, 413996.78,    600.56
  55, 733693.03, 172102.87,    152.93
  56, 297080.35, 657834.68,    112.99
  57, 382536.31, 280362.04,     77.43
  58,  36254.57,  83592.23,   1138.65
  59, 741030.15, 177339.46,    220.75
  60, 180927.24,  96688.94,   1946.81
  61, 816567.41, 354615.92,    452.36
  62, 941465.93, 821404.07,   1185.12
  63, 245035.90, 562992.44,    945.15
  64, 414058.46, 405770.43,   1205.65
  65, 626384.74, 270194.44,    853.03
  66,  45315.49, 800449.69,     53.68
  67,  41880.59, 876726.39,    230.72
  68, 594041.12, 220371.22,   1219.63
  69, 406713.32, 366307.90,    777.26
  70, 506176.57, 243862.55,    904.91
  71, 877297.54, 647549.66,    430.89
  72, 127479.13, 978789.67,    644.41
