particle_id,x,y,mass
   0, 678898.12, 861795.61,   1535.07
   1, 740609.90, 953857.81,   4139.68
   2, 613187.39, 808049.56,    378.32
   3, 332052.46, 402172.43,  10777.73
   4, 143871.37, 635356.85,   6665.34
   5, 511911.86, 520948.03,   1917.31
   6, 656703.03, 209910.78,   3357.02
   7, 901659.12, 400527.07,   1258.53
   8, 785557.96, 257459.87,   3049.66
   9, 949079.79, 957822.10,   3255.37
  10,  95621.45, 660553.97,   1561.59
  11, 841309.76, 589114.29,   1790.72
  12, 925753.93, 450168.43,   2766.56
  13, 456870.32, 738139.67,   3712.18
  14, 655392.44, 430378.71,   1833.45
  15, 254622.75, 249909.31,   4652.32
  16, 291510.04, 700642.98,   1921.71
  17, 519377.57, 335030.77,   3009.44
  18, 251526.37, 278653.47,   2092.13
  19, 567251.14, 808153.96,   2515.53
  20, 783496.54, 852715.99,   1223.69
  21, 616460.30, 383961.71,    944.83
  22, 442417.41, 146322.81,    112.99
  23, 341774.34, 318600.47,     77.43
  24, 174372.15, 668566.14,    644.41
