particle_id,x,y,mass
   0, 717303.07, 876762.40,   1535.07
   1, 687445.09, 991778.16,   4139.68
   2, 565319.47, 747762.74,    378.32
   3, 354612.60, 409624.95,  10777.73
   4, 173341.18, 621648.92,   6665.34
   5, 510487.26, 481527.97,   1917.31
   6, 656489.76, 185256.71,   3357.02
   7, 901618.43, 473226.96,   1258.53
   8, 788257.34, 294726.55,   3049.66
   9, 998719.50, 927236.29,   3255.37
  10,  60420.27, 673201.32,   1561.59
  11, 757078.59, 544682.06,   1790.72
  12, 906128.21, 402772.27,   2766.56
  13, 463540.19, 696987.16,   3712.18
  14, 647933.49, 367512.75,   1833.45
  15, 239746.82, 336390.75,   4652.32
  16, 462739.10, 722254.88,   1921.71
  17, 472925.29, 376721.17,   3009.44
  18, 302688.16, 210563.59,   2092.13
  19, 514008.70, 856743.17,   2515.53
  20, 795035.10, 882511.47,   1223.69
  21, 562271.57, 376661.10,    944.83
  22, 527772.34,  68397.28,    112.99
  23, 205878.35, 363788.49,     77.43
  24,  70034.71, 595660.96,    644.41
