particle_id,x,y,mass
   0, 618318.01, 844105.95,   1535.07
   1, 931507.91, 662384.58,   2465.58
   2, 609718.55, 744756.27,    378.32
   3, 199706.05, 401718.32,   3488.96
   4,  95874.88, 725667.72,   3692.35
   5, 409167.23, 627906.55,    822.87
   6, 574304.76, 363331.77,   1284.36
   7, 995496.73, 130752.67,   1180.22
   8, 627275.31, 127742.88,   2675.98
   9, 606494.27, 967723.78,   3255.37
  10, 214972.04, 337780.30,     96.17
  11, 861706.82, 793493.62,    516.86
  12, 816295.11, 652077.78,   2335.67
  13, 359418.02, 882489.92,   1330.21
  14, 584331.16, 566495.26,   1833.45
  15,  77403.14,  84333.69,   1800.60
  16, 870157.98, 692599.44,   1674.10
  17, 100974.44, 352270.69,   1921.71
  18, 741066.02, 294386.32,   3009.44
  19, 243702.25, 516166.24,   2403.91
  20, 127405.83, 703384.01,   2713.82
  21, 981082.89, 398386.91,     78.31
  22, 317934.67, 333702.18,    874.58
  23, 879291.14, 627398.16,   2515.53
  24, 807196.78, 932349.88,    904.96
  25, 486574.99, 622059.24,   1094.44
  26, 422193.96, 410756.35,   2741.61
  27, 101915.06, 677066.43,     28.44
  28, 336929.83,  92030.50,   1217.55
  29, 415374.33, 782756.92,   1503.92
  30, 734691.44, 471830.36,    944.83
  31, 427108.13, 870283.66,    878.05
  32, 204999.91, 370518.16,   2143.25
  33, 720089.46, 926632.66,    318.73
  34, 216540.46, 309089.16,   1465.42
  35, 901547.23, 781921.53,   1273.86
  36, 637456.12, 157691.99,    373.68
  37, 289130.89, 595434.19,    112.99
  38, 376368.07, 329534.08,     77.43
  39, 188934.92, 119845.24,   1946.81
  40, 613558.70, 211266.76,   2072.66
  41,  70184.14, 808224.85,    230.72
  42, 592612.65, 236668.12,    904.91
  43, 831030.16, 660165.37,    430.89
  44, 129010.17, 951527.19,    644.41
