particle_id,x,y,mass
   0, 778300.67, 942480.58,   2758.76
   1, 580558.03, 933899.60,   4139.68
   2, 346601.39, 618839.12,    378.32
   3, 404703.36, 514360.70,  10777.73
   4, 261914.54, 560607.18,   6665.34
   5, 332764.57, 356131.18,   1917.31
   6, 636953.25, 158496.99,   3357.02
   7, 929339.12, 556422.98,   1258.53
   8, 784785.58, 367211.49,   3049.66
   9, 879191.64, 857921.13,   3255.37
  10, 420844.02, 555081.12,   1561.59
  11, 557729.65, 429740.20,   1790.72
  12, 771141.12, 324218.21,   2766.56
  13, 454159.38, 643394.12,   3712.18
  14, 602096.60, 223999.56,   1833.45
  15, 310148.49, 548032.51,   4652.32
  16, 803426.10, 597454.68,   1921.71
  17, 359322.27, 227038.82,   3009.44
  18, 460205.25, 199323.50,   2092.13
  19, 407064.11, 919910.80,   2515.53
  20, 416483.10, 428158.68,    944.83
  21, 704635.36,  68636.90,    112.99
  22,  16381.14, 890759.87,     77.43
  23, 103952.58, 581624.67,    644.41
