particle_id,x,y,mass
   0, 623638.69, 845867.65,   1497.08
   1, 944547.29, 673866.58,   2465.58
   2, 584902.63, 739008.25,    378.32
   3, 223437.25, 424618.02,   1144.66
   4,  49214.25, 785214.62,   1407.57
   5, 379681.12, 659802.78,    822.87
   6, 567322.54, 385176.21,   1284.36
   7, 954050.78,  10895.47,   1180.22
   8, 652124.90, 119727.73,   2147.62
   9, 444090.01, 954022.83,     17.82
  10, 289067.48, 228395.45,     96.17
  11, 831278.38, 830457.28,    516.86
  12, 748715.51, 671897.54,   2335.67
  13, 327778.41, 911276.96,   1330.21
  14, 559486.77, 577277.87,    893.55
  15,  40999.62,  37967.52,    661.95
  16, 795249.24, 618357.10,     93.47
  17,  43261.70, 353489.20,   1921.71
  18, 521595.54, 961948.70,   1256.22
  19, 811097.23, 308519.58,    279.95
  20, 269462.58, 523752.70,    469.21
  21, 833216.76, 601468.00,   1580.64
  22, 791445.22, 353472.40,    300.54
  23, 196304.39, 676898.25,    892.00
  24, 297431.34, 551642.76,    989.56
  25, 994560.68, 391534.99,     78.31
  26, 263392.81, 445706.35,    874.58
  27, 608100.18,  37383.05,     95.24
  28, 979268.58, 534982.55,    890.20
  29, 974076.89, 594319.63,   1027.33
  30, 810020.89, 970119.48,    566.19
  31, 257158.53, 299929.64,    903.81
  32, 479519.86, 644143.31,   1094.44
  33, 456531.66, 489254.22,    158.14
  34,  54533.50, 586446.12,     28.44
  35, 743331.06, 287945.41,   1305.75
  36, 296879.67, 103813.50,    536.23
  37, 220162.58, 390232.05,   1440.49
  38, 361494.63,  45844.74,    681.33
  39, 427732.44, 763712.63,    248.57
  40,  55712.55, 698636.07,   2221.05
  41, 746123.96, 487149.75,    882.06
  42, 134134.49, 645984.60,    693.55
  43, 404818.53, 867418.21,    878.05
  44, 185737.33, 286619.78,   2143.25
  45, 551624.22, 612627.78,    939.89
  46, 627324.96, 933707.60,     37.99
  47, 477716.07, 914268.68,   1981.34
  48, 793719.13, 246028.00,    390.38
  49, 212548.76, 769674.48,    434.13
  50, 704798.41, 968309.40,    318.73
  51, 108073.84, 243590.22,   1465.42
  52, 393742.05, 789969.09,   1255.35
  53, 766319.98, 521797.54,     62.77
  54, 955613.66, 894581.84,     88.74
  55, 161905.69, 759116.50,    694.15
  56, 449541.72, 423437.52,    600.56
  57, 735160.31, 170066.47,    152.93
  58, 821830.86, 972159.97,    338.77
  59, 296814.19, 664370.28,    112.99
  60, 381928.58, 274044.20,     77.43
  61,  30168.53,  89355.91,   1138.65
  62, 754424.60, 179102.65,    220.75
  63, 179365.34,  93380.70,   1946.81
  64, 826790.65, 359616.95,    452.36
  65,  38853.52, 665542.09,     10.05
  66, 945236.57, 825173.84,   1185.12
  67, 237841.01, 569362.72,    945.15
  68, 985280.31, 508022.63,    598.00
  69, 407500.51, 403953.48,   1205.65
  70, 628429.77, 277520.07,    853.03
  71,  28331.47, 821224.88,     53.68
  72, 796294.18, 240111.96,    280.47
  73,  39096.70, 883060.57,    230.72
  74, 589304.21, 221282.18,   1219.63
  75, 408221.31, 358648.96,    777.26
  76, 521294.58, 255909.56,    101.56
  77, 872258.21, 652402.33,    430.89
  78, 492832.45, 244082.19,    803.35
  79, 628733.28, 104082.78,    433.11
  80, 127838.91, 981580.34,    644.41
