particle_id,x,y,mass
   0, 622107.93, 860135.31,   1535.07
   1, 839331.63, 852139.90,   4139.68
   2, 647638.70, 808089.98,    378.32
   3, 250727.61, 396395.58,   8036.12
   4, 137212.42, 687903.62,   6665.34
   5, 489933.72, 566593.46,   1917.31
   6, 637048.06, 283116.48,   3357.02
   7, 956624.33, 292552.22,   1180.22
   8, 735809.55, 198884.83,   3049.66
   9, 826023.63, 996804.04,   3255.37
  10, 146017.02, 551120.88,   1561.59
  11, 983830.84, 660288.39,   1790.72
  12, 902475.89, 524152.68,   2766.56
  13, 429942.51, 796168.72,   3712.18
  14, 628801.68, 506308.66,   1833.45
  15, 197389.17, 162341.22,   3747.41
  16, 173629.98, 535551.86,   1921.71
  17, 598681.98, 265121.29,   3009.44
  18, 946447.03, 392530.14,     78.31
  19, 366152.93, 327134.15,    874.58
  20, 672663.99, 713720.47,   2515.53
  21, 761504.93, 852252.24,    904.96
  22, 379403.99, 419465.53,   2741.61
  23, 328091.95, 160527.87,   1217.55
  24, 694505.31, 422971.31,    944.83
  25, 717261.54, 883874.25,    318.73
  26, 249173.84, 331356.64,    112.99
  27, 406750.08, 434388.47,     77.43
  28, 369001.12, 194981.50,    904.91
  29, 147271.31, 843363.89,    644.41
