particle_id,x,y,mass
   0, 678411.62, 861691.19,   1535.07
   1, 741304.82, 953275.90,   4139.68
   2, 613550.77, 808931.97,    378.32
   3, 331722.41, 402020.14,  10777.73
   4, 143605.06, 635412.44,   6665.34
   5, 511840.76, 521356.70,   1917.31
   6, 656652.91, 210293.67,   3357.02
   7, 902101.99, 399659.89,   1258.53
   8, 785422.61, 256987.54,   3049.66
   9, 948372.16, 958199.80,   3255.37
  10,  97941.23, 660245.02,   1561.59
  11, 842362.25, 589648.49,   1790.72
  12, 925705.13, 450738.11,   2766.56
  13, 456680.25, 738627.23,   3712.18
  14, 655357.54, 431116.21,   1833.45
  15, 254232.94, 248929.82,   4652.32
  16, 289397.82, 700246.07,   1921.71
  17, 519881.86, 334550.95,   3009.44
  18, 252530.60, 279722.61,   2092.13
  19, 567956.91, 807436.97,   2515.53
  20, 783240.69, 852411.36,   1223.69
  21, 617123.77, 384116.68,    944.83
  22, 441304.32, 147410.83,    112.99
  23, 342982.91, 318867.91,     77.43
  24, 174351.40, 670566.33,    644.41
