particle_id,x,y,mass
   0, 627814.04, 859457.53,   1535.07
   1, 818865.19, 876411.30,   4139.68
   2, 653121.17, 828390.04,    378.32
   3, 267646.90, 394394.70,   8036.12
   4, 145084.37, 678857.95,   6665.34
   5, 496304.17, 557133.59,   1917.31
   6, 646454.49, 264476.14,   3357.02
   7, 946523.49, 316450.46,   1180.22
   8, 752434.51, 209366.04,   3049.66
   9, 857497.17, 992633.45,   3255.37
  10, 133534.60, 557205.68,   1561.59
  11, 953615.39, 645199.24,   1790.72
  12, 909438.31, 507182.06,   2766.56
  13, 435392.67, 785127.64,   3712.18
  14, 636428.05, 493592.69,   1833.45
  15, 211426.49, 178086.36,   3747.41
  16, 168849.86, 577551.18,   1921.71
  17, 574248.52, 281914.75,   3009.44
  18, 939056.95, 388206.86,     78.31
  19, 365703.79, 341703.11,    874.58
  20, 648697.61, 732711.26,   2515.53
  21, 761116.31, 841361.57,    904.96
  22, 363212.08, 419556.05,   2741.61
  23, 324401.75, 182130.70,   1217.55
  24, 681011.65, 413346.44,    944.83
  25, 721998.93, 878112.38,    318.73
  26, 299039.04, 283901.20,    112.99
  27, 409071.95, 404552.59,     77.43
  28, 314313.58, 205437.61,    904.91
  29, 152440.74, 815764.71,    644.41
