particle_id,x,y,mass
   0, 620672.87, 843299.42,   1497.08
   1, 907314.74, 649790.01,   2465.58
   2, 602434.48, 741207.37,    378.32
   3, 207443.42, 406905.46,   3488.96
   4,  75583.48, 731915.42,   3692.35
   5, 397770.53, 638718.42,    822.87
   6, 569967.89, 370343.67,   1284.36
   7, 985807.85,  94796.94,   1180.22
   8, 632155.64, 115358.25,   2675.98
   9, 557192.72, 950034.65,   3255.37
  10, 251927.24, 292482.15,     96.17
  11, 848522.04, 808755.68,    516.86
  12, 784428.83, 657439.10,   2335.67
  13, 349078.66, 894479.47,   1330.21
  14, 575812.02, 574966.24,   1833.45
  15,  61479.10,  77879.36,   1800.60
  16, 853163.54, 664109.57,   1674.10
  17,  78626.76, 350755.09,   1921.71
  18, 774346.91, 312929.71,   1032.85
  19, 251652.03, 530642.60,   2403.91
  20, 151194.80, 682399.92,    892.00
  21, 986209.68, 397506.80,     78.31
  22, 299105.92, 353143.42,    874.58
  23, 940190.69, 619307.14,   2515.53
  24, 810394.24, 945498.21,    904.96
  25, 484310.40, 630881.15,   1094.44
  26, 424971.06, 407004.25,   2741.61
  27,  82733.17, 637799.91,     28.44
  28, 741988.45, 289520.06,   1976.60
  29, 322236.55,  96658.94,    536.23
  30, 349708.74,  72811.77,    681.33
  31, 411565.04, 779748.78,   1503.92
  32, 737766.17, 477769.70,    944.83
  33, 155260.32, 705184.32,   1821.83
  34, 423723.71, 873301.44,    878.05
  35, 212242.15, 341815.74,   2143.25
  36, 622909.80, 871270.94,     37.99
  37, 715829.22, 941238.33,    318.73
  38, 183469.61, 276867.08,   1465.42
  39, 919869.09, 801469.81,   1273.86
  40, 681499.14, 164985.50,    373.68
  41, 293916.88, 621042.63,    112.99
  42, 380307.08, 310191.76,     77.43
  43, 187410.09, 112025.56,   1946.81
  44, 612951.59, 222385.46,   2072.66
  45,  58202.49, 838119.53,    230.72
  46, 551484.20, 242733.87,    904.91
  47, 895589.43, 676701.67,    430.89
  48, 127649.57, 963042.39,    644.41
