particle_id,x,y,mass
   0, 617373.05, 858563.79,   1535.07
   1, 865285.52, 817482.99,   4139.68
   2, 638044.59, 785875.81,    378.32
   3, 229330.56, 399316.27,   8036.12
   4, 127580.73, 698483.09,   6665.34
   5, 480557.27, 580395.39,   1917.31
   6, 609510.04, 312122.73,   1284.36
   7, 969568.10, 256987.31,   1180.22
   8, 705419.68, 188132.48,   3049.66
   9, 778640.72, 998059.36,   3255.37
  10, 190308.51, 525349.11,   1561.59
  11, 972939.72, 682115.48,   1790.72
  12, 891125.99, 550278.16,   2766.56
  13, 421996.14, 810286.81,   3712.18
  14, 617729.57, 522577.43,   1833.45
  15, 179924.91, 142913.38,   3747.41
  16, 166960.52, 487926.63,   1921.71
  17, 653142.74, 267067.53,   3009.44
  18, 956022.59, 396162.42,     78.31
  19, 360315.70, 314688.16,    874.58
  20, 708632.57, 687450.97,   2515.53
  21, 771420.86, 870764.80,    904.96
  22, 395929.12, 417691.31,   2741.61
  23, 333618.57, 137964.52,   1217.55
  24, 709870.42, 435796.90,    944.83
  25, 714718.74, 889522.30,    318.73
  26, 222560.96, 439828.58,    112.99
  27, 373345.68, 442774.71,     77.43
  28, 612484.15, 260890.85,   2072.66
  29, 442266.68, 177187.77,    904.91
  30, 141022.17, 877223.71,    644.41
