particle_id,x,y,mass
   0, 686820.94, 863729.41,   1535.07
   1, 729507.58, 962822.30,   4139.68
   2, 606005.94, 794223.50,    378.32
   3, 337185.53, 404431.31,  10777.73
   4, 148370.39, 634925.83,   6665.34
   5, 512789.93, 514105.87,   1917.31
   6, 657302.42, 204035.37,   3357.02
   7, 895119.94, 415551.95,   1258.53
   8, 787339.82, 265078.02,   3049.66
   9, 960301.70, 951702.68,   3255.37
  10,  60735.36, 664451.69,   1561.59
  11, 824314.33, 580434.81,   1790.72
  12, 925940.24, 440496.64,   2766.56
  13, 459759.34, 730125.03,   3712.18
  14, 655449.32, 418167.61,   1833.45
  15, 256786.46, 270225.28,   4652.32
  16, 325241.21, 706699.83,   1921.71
  17, 511082.23, 342879.26,   3009.44
  18, 245548.18, 253036.90,   2092.13
  19, 556068.18, 819407.96,   2515.53
  20, 787246.31, 857978.94,   1223.69
  21, 605781.89, 381809.30,    944.83
  22, 460202.80, 129182.67,    112.99
  23, 321703.00, 315907.70,     77.43
  24, 168907.72, 632583.99,    644.41
