particle_id,x,y,mass
   0, 782832.95, 954981.94,   2758.76
   1, 556617.49, 913180.53,   4139.68
   2, 302233.99, 564138.23,    378.32
   3, 411730.15, 560897.50,  10777.73
   4, 316154.85, 536753.12,   6665.34
   5, 260319.97, 340901.73,   1917.31
   6, 627638.56, 161489.35,   3357.02
   7, 929377.81, 574358.13,   1258.53
   8, 790198.78, 362701.25,   3049.66
   9, 845569.56, 842935.15,   3255.37
  10, 459274.61, 475039.26,   1561.59
  11, 505476.18, 400399.44,   1790.72
  12, 721104.05, 328845.91,   2766.56
  13, 442487.00, 612356.65,   3712.18
  14, 593993.78, 182149.78,   1833.45
  15, 328818.21, 601434.55,   4652.32
  16, 877234.65, 565452.40,   1921.71
  17, 363228.57, 157358.88,   3009.44
  18, 498210.68, 205444.82,   2092.13
  19, 386406.29, 931563.04,   2515.53
  20, 383856.53, 466729.33,    944.83
  21, 742182.63, 107183.47,    112.99
  22,  17758.10, 991782.01,     77.43
  23, 150788.42, 577452.25,    644.41
