particle_id,x,y,mass
   0, 615826.63, 848048.08,   1535.07
   1, 931715.47, 727101.31,   2465.58
   2, 618344.64, 753084.00,    378.32
   3, 190540.40, 402563.09,   5632.21
   4, 113496.88, 714238.66,   6434.62
   5, 428243.53, 613908.62,    822.87
   6, 581891.40, 352377.17,   1284.36
   7, 994398.70, 171979.15,   1180.22
   8, 613606.47, 163567.77,   2675.98
   9, 663388.75, 983066.86,   3255.37
  10, 213786.34, 422279.85,     96.17
  11, 880235.21, 759001.69,   1790.72
  12, 856408.82, 626535.03,   2766.56
  13, 378705.10, 862604.81,   1330.21
  14, 594713.03, 554776.75,   1833.45
  15, 101152.67,  94808.27,   1800.60
  16, 885501.47, 717592.88,   1674.10
  17, 141073.42, 360097.87,   1921.71
  18, 720163.10, 290222.60,   3009.44
  19, 233126.69, 490728.33,   2403.91
  20, 974174.37, 398718.70,     78.31
  21, 334569.18, 317710.57,    874.58
  22, 804042.55, 628429.15,   2515.53
  23, 799769.62, 914411.36,    904.96
  24, 487884.16, 609832.40,   1094.44
  25, 417039.29, 413899.06,   2741.61
  26, 338943.03, 102516.21,   1217.55
  27, 420271.06, 790239.63,   1503.92
  28, 730340.35, 462446.82,    944.83
  29, 423872.40, 860756.84,    878.05
  30, 720393.84, 909195.66,    318.73
  31, 248319.75, 374811.83,   1465.42
  32, 638032.81, 121661.12,    373.68
  33, 277731.69, 557748.05,    112.99
  34, 366962.63, 360922.63,     77.43
  35, 189276.82, 130006.85,   1946.81
  36, 625782.43, 211372.83,   2072.66
  37,  94216.20, 751738.61,    230.72
  38, 625076.64, 171720.14,    904.91
  39, 131715.30, 933453.81,    644.41
